nom,url,prix_tnd,marque,ram_go,stockage_go,taille_ecran,os_platform,has_bluetooth
Téléphone Portable AMI C14 Style 3 - Bleu Champagne,https://www.mytek.tn/telephone-portable-ami-c14-style-3-bleu-champagne.html,35.9,AMI,16.0,32.0,1.77,Autres,1
Téléphone Portable AMI C14 Style 4 - Noir,https://www.mytek.tn/telephone-portable-ami-c14-style-4-noir.html,35.9,AMI,16.0,32.0,1.77,Autres,1
Téléphone Portable AMI C14 Style 4 - Vert Noir,https://www.mytek.tn/telephone-portable-ami-c14-style-4-vert-noir.html,35.9,AMI,16.0,32.0,1.77,Autres,1
Téléphone Portable AMI C14 Style 3 - Noir Gris,https://www.mytek.tn/telephone-portable-ami-c14-style-3-noir-gris.html,35.9,AMI,16.0,32.0,1.77,Autres,1
Téléphone Portable AMI C14 Style 4 -Bleu Noir,https://www.mytek.tn/telephone-portable-ami-c14-style-4-bleu-noir.html,35.9,AMI,16.0,32.0,1.77,Autres,1
Téléphone Portable AMI C14 Style 3 - Noir Vert,https://www.mytek.tn/telephone-portable-ami-c14-style-3-noir-vert.html,35.9,AMI,16.0,32.0,1.77,Autres,1
Téléphone Portable AMI C14 FASHION 1- Couleur Vert,https://www.mytek.tn/telephone-portable-ami-c14-fashion-1-couleur-vert.html,39.9,AMI,12.8046875,32.0,1.8,Autres,1
Téléphone Portable AMI C14 FASHION 2- Marron Foncé,https://www.mytek.tn/telephone-portable-ami-c14-fashion-2-marron-fonce.html,39.9,AMI,12.8046875,32.0,1.8,Autres,1
Téléphone Portable AMI C14 FASHION 1- Couleur Noir,https://www.mytek.tn/telephone-portable-ami-c14-fashion-1-couleur-noir.html,39.9,AMI,12.8046875,32.0,1.8,Autres,1
Téléphone Portable AMI C14 FASHION 2- Bleu Noir,https://www.mytek.tn/telephone-portable-ami-c14-fashion-2-bleu-noir.html,39.9,AMI,12.8046875,32.0,1.8,Autres,1
Téléphone Portable AMI F35 Strong 2  - Noir Champagne,https://www.mytek.tn/telephone-portable-ami-f35-strong-2-noir-orange.html,79.9,AMI,0.02421875,32.0,2.4,Autres,1
Téléphone Portable AMI F35 Strong 2 - Noir Gris,https://www.mytek.tn/telephone-portable-ami-f35-strong-2-noir-gris.html,79.9,AMI,0.02421875,32.0,2.4,Autres,1
Téléphone Portable AMI F35 Strong 2  - Vert Silver,https://www.mytek.tn/telephone-portable-ami-f35-strong-2-vert-silver.html,79.9,AMI,0.02421875,32.0,2.4,Autres,1
Téléphone Portable AMI D20 Strong 1 - Couleur Noir,https://www.mytek.tn/telephone-portable-ami-d20-strong-1-couleur-noir.html,79.9,AMI,0.02421875,32.0,2.4,Autres,1
Téléphone Portable AMI D20 Strong 1- Couleur Bleu,https://www.mytek.tn/telephone-portable-ami-d20-strong-1-couleur-bleu.html,79.9,AMI,0.02421875,32.0,2.4,Autres,1
Téléphone Portable AMI D20 Strong 1- Couleur Vert,https://www.mytek.tn/telephone-portable-ami-d20-strong-1-couleur-vert.html,79.9,AMI,0.02421875,32.0,2.4,Autres,1
Téléphone Portable Clever C4 - Gold,https://www.mytek.tn/telephone-portable-clever-c4-gold.html,32.9,CLEVER,16.0,32.0,1.77,Sans Système,1
Téléphone Portable Clever C4 - Rouge,https://www.mytek.tn/telephone-portable-clever-c4-rouge.html,32.9,CLEVER,16.0,32.0,1.77,Sans Système,1
Téléphone Portable Clever C4 -Blanc,https://www.mytek.tn/telephone-portable-clever-c4-blanc.html,32.9,CLEVER,16.0,32.0,1.77,Sans Système,1
Téléphone Portable Clever C4 - Purple,https://www.mytek.tn/telephone-portable-clever-c4-purple.html,32.9,CLEVER,16.0,32.0,1.77,Sans Système,1
Téléphone Portable Clever C4 - Vert,https://www.mytek.tn/telephone-portable-clever-c4-vert.html,32.9,CLEVER,16.0,32.0,1.77,Sans Système,1
Téléphone Portable Clever C4 - Bleu,https://www.mytek.tn/telephone-portable-clever-c4-bleu.html,32.9,CLEVER,16.0,32.0,1.77,Sans Système,1
Téléphone Portable EVERTEK EX18 - Orange,https://www.mytek.tn/telephone-portable-evertek-ex18-orange.html,35.0,EVERTEK,0.0234375,32.0,1.8,Autres,1
Téléphone Portable EVERTEK E3218 - Silver,https://www.mytek.tn/telephone-portable-evertek-e3218-silver.html,38.0,EVERTEK,0.03125,32.0,1.77,Autres,1
